County Name,Net Enrollment Rate Both Sexes,Net Enrollment Male,Net Enrollment Female,Adult Literacy Rate,GDP per capita,GNI per capita,Internet Users,population 15-64 female,Population female,population 15-64 male,Population male,population 15-64 total,Population total,
Jamaica,,,,,4855.800481,8300,40.4027351,962311,1438191,951310,1423896,1913620,2862087,-948467
Japan,99.95001221,99.94999695,99.95001984,,38096.21151,40810,89.10683302,38631017,65078022,39748533,62197978,78379970,127276000,-48896030
Jordan,,,,,4066.940775,8980,46.2,2592706,4342550,2686862,4466756,5279573,8809306,-3529733
Kazakhstan,99.49298859,99.39260864,99.59861755,,12806.56511,22310,66,5967321,8918736,5632789,8370488,11600105,17289224,-5689119
Kenya,,,,78.73304,1335.06458,2860,16.5,12972876,23148907,12657390,22875343,25630264,46024250,-20393986
Kiribati,97.64276123,,,,1619.342566,3680,12.25,34741,56024,33017,54434,67756,110458,-42702
"Korea, Dem. People’s Rep.",,,,,,,,8642642,12835326,8666776,12281037,17309412,25116363,-7806951
"Korea, Rep.",96.54998016,96.79084015,96.2919693,,27811.36638,33740,87.55682649,18204918,25340846,18988155,25405813,37193108,50746659,-13553551
Kosovo,,,,,4054.721339,9290,,,,,,,1821800,-1821800
Kuwait,98.70320129,98.10343933,99.33355713,,42996.40812,81790,78.7,1186948,1608467,1714392,2173983,2901402,3782450,-881048
Kyrgyz Republic,97.98143768,98.4154129,97.53138733,,1279.769783,3210,28.3,1913837,2943790,1876411,2891710,3790251,5835500,-2045249
Lao PDR,95.12422943,95.89156342,94.32682037,,2017.587781,5170,14.26,2057455,3299587,2023170,3276810,4080625,6576397,-2495772
Latvia,97.02603149,96.72271729,97.34306335,,15758.52974,23870,75.83,677925,1079155,638338,914627,1316271,1993782,-677511
Lebanon,83.74484253,86.4019165,81.1452713,,8536.682494,14410,73,1877891,2783142,1921882,2820137,3799776,5603279,-1803503
Lesotho,80.73084259,79.00480652,82.48471832,76.6352,1218.466106,3120,22,665995,1105439,613834,1040346,1279825,2145785,-865960
Liberia,38.12701035,39.10947037,37.10467911,,458.4651734,710,5.41,1189529,2178344,1194701,2212393,2384228,4390737,-2006509
Libya,,,,,,,17.76,2059833,3066177,2106478,3137931,4166313,6204108,-2037795
Liechtenstein,97.49867249,96.94093323,98.06659698,,179308.0756,,95.21,,,,,,37127,-37127
Lithuania,99.46846771,99.08415222,99.87255096,,16554.97139,27800,72.13,1015205,1582528,951263,1349839,1966503,2932367,-965864
Luxembourg,95.97609711,95.76879883,96.19624329,,119225.38,65930,94.67,188989,277525,197197,278794,386181,556319,-170138
"Macao SAR, China",90.34140778,89.49175262,91.25361633,,94004.38983,118020,69.78,245930,306325,222921,282456,468857,588781,-119924
"Macedonia, FYR",88.25611877,88.8559494,87.62509918,,5469.217898,13260,68.06,724910,1038992,745123,1038503,1470032,2077495,-607463
Madagascar,,,,,452.4631926,1400,3.7,6550416,11831163,6461942,11758638,13012354,23589801,-10577447
Malawi,,,,65.14537,354.7253961,1120,5.83,4513866,8618832,4365718,8450006,8879588,17068838,-8189250
Malaysia,98.36566162,98.67256165,98.04112244,,11183.72943,24640,63.66542588,9990866,14607024,10829241,15620993,20820049,30228017,-9407968
Maldives,,,,98.61012,9220.328165,16150,49.28,121202,175201,168393,225799,289582,401000,-111418
Mali,63.56684113,66.9916687,59.99409103,,848.2279485,1910,7,4237640,8481734,4154626,8481112,8392260,16962846,-8570586
Malta,98.82511139,98.00083923,99.70091248,,26248.77189,32380,73.17,141393,213261,147964,214103,289355,427364,-138009
Marshall Islands,,,,,3461.781164,4930,16.8,,,,,,52898,-52898
Mauritania,75.08180237,73.38324738,76.83061981,,1326.668654,3750,10.7,1137088,2018404,1156927,2045516,2294015,4063920,-1769905
Mauritius,96.55326843,95.53356171,97.6138382,92.47476,10153.93822,18740,44.80327537,445014,636160,446497,624774,891504,1260934,-369430
Mexico,97.59636688,97.06040955,98.15379333,94.55588,10452.78353,17230,44.39,41160571,62378597,40515495,61843003,81676066,124221600,-42545534
"Micronesia, Fed. Sts.",87.05473328,85.90046692,88.29696655,,3057.24559,3560,29.65,31016,50770,32685,53245,63702,104015,-40313
Moldova,90.00174713,90.06066895,89.93939209,,2244.763762,5540,46.6,1354993,1846997,1288756,1709400,2643738,3556397,-912659
Monaco,,,,,,,92.4,,,,,,38132,-38132
Mongolia,95.61865997,96.23738098,94.98651123,,4181.583313,10980,19.94244743,1000521,1475577,981584,1448319,1982109,2923896,-941787
Montenegro,,,,,7378.345289,15610,61,210383,315153,211127,306657,421507,621810,-200303
Morocco,98.923172,99.03386688,98.80677795,,3154.513484,7270,56.8,11531616,17350958,11091305,16967124,22622915,34318082,-11695167
Mozambique,87.55632782,89.66120911,85.44094086,,623.2871141,1120,9.236314896,7307071,13951848,6700789,13260534,14007850,27212382,-13204532
Myanmar,94.52787781,,,,1260.422411,4780,11.52,17718689,26568570,16788447,25355612,34507130,51924182,-17417052
Namibia,,,,,5392.712419,10110,14.84,730083,1219635,675454,1151357,1405531,2370992,-965461
Nauru,86.62674713,88.74172211,84.49198151,,,,,,,,,,,0
Nepal,94.66152954,95.31694031,93.97155762,,706.2386977,2430,15.44,9165560,14578845,8190304,13744396,17355470,28323241,-10967771
Netherlands,,,,,52157.40687,48880,91.666666,5483805,8483704,5584727,8381304,11068561,16865008,-5796447
